# Original catalog: COSMOS2015_Laigle+_v1.1.fits.gz
# 
# Selected: 0 < ip (after correction) < 25.0,
#           ip_FLAGS < 4,
#           TYPE == 0,
#           PHOTOZ > 0,
#           CLASS == 0
# 
# Observe with: Single fibers
# 
# Date: 20 Jul 2021
# 
#  NUMBER  ALPHA_J2000  DELTA_J2000 PHOTOZ  MASS    SFR       u   u_err       B   B_err       V   V_err       r   r_err       i   i_err       z   z_err
   896488 150.46425476  2.661999229   0.09  7.23  -3.87   26.62    0.56   25.96    0.15   25.24    0.13   25.08    0.10   24.68    0.10   24.41    0.11
   896559 149.47064031  2.661150506   0.40  8.93  -2.21   26.13    0.48   25.58    0.13   24.61    0.09   23.89    0.05   23.51    0.04   23.17    0.04
   896674 149.42286985  2.658852089   0.99 10.93  -1.07   25.91    0.49   25.45    0.13   24.28    0.08   23.29    0.04   22.13    0.02   21.28    0.01
   896709 149.95079019  2.660731216   0.91 10.96  -0.37   26.98   -1.00   26.24    0.19   24.88    0.10   23.94    0.05   22.70    0.02   21.89    0.01
   896728 149.83115973  2.658167657   0.92 10.91  -0.65   25.43    0.22   25.03    0.11   23.76    0.06   22.86    0.03   21.59    0.01   20.85    0.01
   896774 149.48831677  2.660707054   1.21 10.94   0.04   26.64   -1.00   26.22    0.22   25.70    0.21   25.22    0.12   24.08    0.07   23.12    0.04
   896792 150.06277136  2.657594366   0.44 10.95  -7.38   24.41    0.08   22.92    0.03   21.58    0.02   20.70    0.01   19.98    0.01   19.61    0.00
   896966 149.84551003  2.662539976   0.20  7.99  -2.75   26.88    0.74   26.13    0.17   25.33    0.13   24.91    0.09   24.45    0.09   24.27    0.09
   896971 149.42839691  2.662198747   0.48  8.69  -2.16   26.66   -1.00   26.43    0.24   25.66    0.18   24.93    0.09   24.39    0.08   24.09    0.09
   896985 150.05732788  2.660310069   0.69 10.45  -1.09   26.67    0.52   25.99    0.17   24.45    0.09   23.64    0.04   22.49    0.02   22.01    0.02
   897026 149.47099110  2.661983318   0.87  9.59  -1.54   26.74   -1.00   27.15    0.44   26.24    0.30   25.33    0.12   24.28    0.08   23.75    0.06
   897029 149.76171450  2.661072828   1.26 10.76  -1.80   26.95   -1.00   27.57    0.63   26.06    0.25   25.43    0.14   24.02    0.06   22.96    0.03
   897116 150.55588936  2.661933384   1.58 10.80  -1.20   26.97   -1.00   27.53    0.55   26.29    0.29   26.60    0.35   24.78    0.11   24.18    0.10
   897119 149.94749585  2.661605958   0.90 10.22  -1.35   26.93    0.76   26.45    0.23   25.35    0.14   24.38    0.07   23.29    0.03   22.55    0.02
   897125 150.04078951  2.660391303   1.49 10.95   0.37   24.53    0.08   24.40    0.06   24.12    0.07   23.79    0.05   23.03    0.03   22.45    0.02
   897133 149.52932682  2.659092490   0.72 11.27   0.15   24.49    0.14   23.96    0.06   22.75    0.04   21.94    0.02   20.74    0.01   20.21    0.00
   897138 150.35958554  2.659492891   0.41 11.03  -0.73   24.20    0.09   22.81    0.03   21.44    0.02   20.59    0.01   19.85    0.01   19.43    0.00
   897140 149.90193201  2.660320360   0.72 10.92  -0.41   24.87    0.13   24.61    0.07   23.32    0.04   22.55    0.02   21.37    0.01   20.85    0.00
   897176 149.68864826  2.662376646   1.05 10.42  -0.48   26.99   -1.00   26.97    0.36   25.98    0.22   25.25    0.12   24.40    0.08   23.59    0.05
   897347 149.71595769  2.659606753   0.40 10.26  -1.74   24.12    0.07   23.06    0.03   21.91    0.02   21.13    0.01   20.55    0.01   20.22    0.00
   897407 149.67644613  2.660196158   0.54 10.46  -7.28   25.05    0.15   23.80    0.04   22.56    0.03   21.65    0.01   20.83    0.01   20.45    0.00
   897473 150.72379491  2.662033962   0.87 10.49  -1.07   26.42    0.66   25.85    0.15   24.48    0.08   23.59    0.04   22.40    0.02   21.71    0.01
   897509 150.47615767  2.659902323   0.55 10.16  -0.40   25.20    0.18   24.49    0.07   23.70    0.05   22.92    0.03   22.14    0.02   21.78    0.01
   897561 150.03686736  2.662979930   0.70  9.66  -1.47   26.92    0.60   26.28    0.20   25.14    0.12   24.40    0.06   23.35    0.04   22.90    0.03
   897571 150.58307456  2.660560705   0.79 11.00  -0.34   26.15    0.43   25.63    0.14   24.10    0.07   23.25    0.03   21.93    0.02   21.29    0.01
   897577 149.81059548  2.662252052   1.74 10.93  -1.27   26.94   -1.00   26.13    0.20   24.96    0.11   24.63    0.08   23.86    0.05   23.09    0.04
   897605 149.86756647  2.662288575   0.96 10.83  -0.29   25.83    0.29   25.51    0.11   24.81    0.09   24.05    0.05   22.94    0.03   21.89    0.01
   897611 149.54302239  2.662084441   1.62 11.32 -11.62   26.64   -1.00   27.16    0.46   25.92    0.24   25.61    0.17   24.61    0.10   23.55    0.06
   897671 149.99256438  2.661772978   0.89 10.64   0.17   25.14    0.14   24.94    0.08   24.19    0.07   23.65    0.04   22.67    0.02   21.99    0.01
   897719 150.65695847  2.662715911   1.27 10.99  -2.29   26.58   -1.00   26.62    0.27   26.22    0.30   25.21    0.12   23.82    0.05   22.80    0.03
   897724 150.49907752  2.662028992   1.32 10.62  -0.95   26.87   -1.00   26.77    0.30   26.42    0.36   25.47    0.14   24.18    0.07   23.34    0.05
   897737 150.35930477  2.660524379   0.40 10.82 -16.46   23.77    0.06   22.44    0.02   21.14    0.02   20.33    0.01   19.69    0.01   19.36    0.00
   897896 150.42907928  2.663909943   0.54  8.66  -4.67   26.96   -1.00   27.10    0.37   26.00    0.22   25.26    0.11   24.55    0.09   24.33    0.10
   897944 149.52804916  2.660396822   0.73 10.82  -9.95   25.84    0.47   24.92    0.11   23.27    0.05   22.46    0.03   21.26    0.01   20.76    0.01
   897994 150.02624861  2.662645392   0.92 10.01  -2.73   26.46    0.50   25.82    0.17   25.03    0.14   24.31    0.07   23.05    0.04   22.36    0.02
   898126 149.95344982  2.660320292   0.89 11.10  -0.90   25.19    0.20   24.61    0.08   23.34    0.05   22.45    0.03   21.26    0.01   20.48    0.00
   898187 150.43146489  2.663150188   0.93 10.04  -2.53   26.87   -1.00   27.17    0.54   26.17    0.34   25.68    0.22   24.20    0.09   23.53    0.07
   898254 149.58711888  2.663819348   0.10  7.10  -5.10   25.84    0.43   25.25    0.11   24.51    0.08   24.27    0.06   24.06    0.07   23.94    0.09
   898284 149.97704979  2.664314513   0.73  9.47  -2.10   27.09   -1.00   27.33    0.46   25.67    0.17   25.26    0.12   24.09    0.06   23.77    0.06
   898286 150.54956775  2.664330602   0.88 10.11  -0.79   26.95   -1.00   27.76   -1.00   26.41    0.32   25.46    0.14   24.31    0.08   23.62    0.06
   898332 149.74227255  2.660353295   0.04  7.36  -4.69   24.64    0.20   24.40    0.10   23.80    0.09   23.30    0.05   22.97    0.05   22.91    0.07
   898333 150.60002689  2.664217264   0.47  8.84  -2.08   26.87   -1.00   26.87    0.31   26.06    0.24   25.47    0.14   24.56    0.09   24.56    0.14
   898356 150.32636999  2.659752218   0.43 10.84  -3.89   23.97    0.06   22.60    0.02   21.33    0.02   20.47    0.01   19.84    0.01   19.47    0.00
   898462 149.79971938  2.661302229   0.83 11.24   0.33   24.25    0.08   23.94    0.05   23.19    0.04   22.52    0.03   21.34    0.01   20.66    0.00
   898540 149.96388968  2.664906283   0.92 10.17  -0.74   26.75    0.59   26.40    0.21   25.92    0.20   25.04    0.10   23.94    0.05   23.26    0.04
   898559 149.81045533  2.663145325   0.61 10.19  -7.55   26.19    0.42   25.05    0.09   23.68    0.05   22.80    0.03   21.89    0.01   21.47    0.01
   898592 149.90780553  2.664151274   1.12 10.65  -2.63   27.01   -1.00   26.90    0.31   26.29    0.27   25.15    0.10   23.97    0.05   22.90    0.03
   898604 150.22929909  2.664586020   0.93  9.91  -1.23   26.30    0.44   26.28    0.20   25.79    0.20   24.99    0.10   23.96    0.06   23.26    0.04
   898834 150.44156543  2.663259795   1.55 11.24   0.77   26.64   -1.00   26.51    0.30   26.41    0.42   25.77    0.22   24.73    0.14   23.94    0.10
   898869 149.51569885  2.665378000   0.16  7.23  -4.97   26.71   -1.00   26.16    0.19   25.56    0.17   25.25    0.12   24.82    0.12   24.93    0.21
   898893 150.32212651  2.663387323   1.40 11.15   0.01   25.54    0.25   24.93    0.09   24.46    0.08   24.06    0.06   22.93    0.03   22.05    0.02
   898965 150.33780947  2.664156211   1.05 10.75  -0.81   26.20    0.44   25.59    0.13   24.77    0.10   23.82    0.05   22.68    0.02   21.73    0.01
   898990 149.95084962  2.665816918   0.85  9.35  -6.23   27.05   -1.00   27.92   -1.00   27.47    0.71   26.33    0.27   24.99    0.12   24.40    0.10
   899122 149.41762190  2.665017714   0.56  9.33 -26.63   26.54   -1.00   27.54   -1.00   26.32    0.33   25.99    0.23   24.81    0.12   24.24    0.12
   899245 149.94811876  2.663578606   0.96 10.78  -1.22   26.57    0.66   25.86    0.17   24.53    0.09   23.55    0.04   22.43    0.02   21.52    0.01
   899261 150.35853176  2.664509574   0.40  9.94  -0.98   25.75    0.31   24.38    0.06   23.25    0.04   22.53    0.02   21.96    0.02   21.62    0.01
   899279 150.53397947  2.665617494   0.90  9.60  -1.96   26.94   -1.00   27.50    0.54   26.95    0.52   25.84    0.19   24.47    0.09   24.17    0.10
   899297 149.47053888  2.666012618   0.79  9.50  -0.87   26.72   -1.00   27.23    0.49   26.51    0.38   26.04    0.21   24.63    0.10   24.36    0.11
   899337 150.64587521  2.665615047   1.11 10.48  -0.66   26.59   -1.00   26.10    0.18   25.11    0.12   24.39    0.07   23.40    0.04   22.46    0.02
   899561 149.65283596  2.664090893   1.14 10.88  -0.68   26.38   -1.00   26.02    0.26   25.02    0.16   23.89    0.07   22.77    0.04   21.79    0.02
   899602 149.65338167  2.665613007   1.14 10.71  -8.33   26.88   -1.00   27.67   -1.00   26.21    0.27   24.93    0.10   23.62    0.05   22.65    0.02
   899643 150.60428462  2.667132928   0.30  7.73  -4.47   26.74   -1.00   26.79    0.37   26.15    0.31   25.52    0.21   24.95    0.17   24.99    0.20
   899689 150.61928734  2.662836199   0.52 10.38  -8.66   24.94    0.23   23.89    0.05   22.72    0.04   21.84    0.02   21.07    0.01   20.66    0.01
   899746 149.97048383  2.665494409   0.69 10.58  -0.54   26.20    0.39   25.19    0.10   24.10    0.06   23.45    0.04   22.28    0.02   21.69    0.01
   899753 150.61418160  2.663234832   0.38 10.43  -2.86   24.14    0.09   22.87    0.03   21.58    0.02   20.82    0.01   20.22    0.01   19.87    0.00
   899801 149.53830848  2.665237389   1.41 10.80  -0.05   25.43    0.29   25.20    0.11   24.83    0.11   24.55    0.08   23.55    0.05   22.63    0.03
   899808 150.57570518  2.663840072   0.99 10.93  -1.07   26.36    0.55   25.71    0.15   24.52    0.09   23.43    0.04   22.19    0.02   21.28    0.01
   899815 150.55670914  2.663516318   0.85 10.99  -9.79   25.56    0.27   25.02    0.09   23.67    0.05   22.80    0.03   21.55    0.01   20.83    0.01
   899828 150.65095311  2.667545796   0.33  7.87  -2.71   26.34   -1.00   26.97    0.42   26.21    0.33   25.54    0.17   24.96    0.16   24.97    0.24
   900020 149.43688714  2.662485106   1.14 11.02  -0.98   26.45   -1.00   25.67    0.16   25.20    0.15   23.76    0.06   22.65    0.03   21.65    0.01
   900048 149.69989617  2.666137873   0.50  9.37  -2.62   26.91    0.80   25.87    0.16   24.98    0.11   23.98    0.05   23.34    0.04   22.97    0.03
   900096 150.53823343  2.666270687   0.91  9.93  -0.92   26.48    0.57   25.86    0.16   25.16    0.13   24.59    0.08   23.53    0.04   22.91    0.03
   900149 149.82980732  2.667063879   0.15  7.82  -7.76   25.87    0.31   25.47    0.14   24.43    0.08   24.12    0.08   23.74    0.05   23.56    0.05
   900186 150.53980825  2.667280172   0.92  9.52  -2.04   26.91   -1.00   27.67   -1.00   27.00    0.62   26.19    0.31   24.88    0.15   24.37    0.11
   900207 150.42786703  2.665725468   0.51  9.69  -1.23   26.50    0.58   26.15    0.19   24.96    0.11   24.11    0.05   23.31    0.04   22.92    0.03
   900225 149.86657481  2.666122287   0.91 10.74  -0.60   26.25    0.44   25.80    0.15   24.96    0.11   24.10    0.06   22.87    0.03   22.12    0.01
   900289 149.55776747  2.666225613   0.69 10.45  -1.54   25.80    0.38   25.02    0.09   23.61    0.05   22.80    0.03   21.73    0.01   21.29    0.01
   900294 150.04602222  2.663852907   0.75 11.16  -0.60   25.38    0.16   24.76    0.08   23.16    0.04   22.39    0.02   21.09    0.01   20.54    0.00
   900297 150.33493357  2.666903377   1.05 10.73  -2.56   26.87   -1.00   26.76    0.33   25.75    0.21   24.58    0.08   23.29    0.04   22.32    0.02
   900341 149.41674436  2.665379643   0.85 10.67  -1.90   26.48   -1.00   25.75    0.16   24.34    0.08   23.41    0.04   22.26    0.02   21.58    0.01
   900383 150.33477163  2.667499954   0.97  9.93  -1.21   26.85   -1.00   26.52    0.27   25.77    0.22   25.17    0.12   24.04    0.06   23.28    0.04
   900433 149.73756327  2.665015731   1.25 10.58  -1.41   26.98   -1.00   26.68    0.30   26.10    0.27   25.41    0.13   24.22    0.07   23.22    0.04
   900541 150.06608037  2.667493054   0.29  8.89  -2.21   26.49    0.45   25.47    0.12   24.43    0.08   23.89    0.05   23.44    0.04   23.20    0.04
   900581 150.60107478  2.664886866   0.99 11.11  -0.89   25.85    0.36   25.22    0.10   23.94    0.06   22.88    0.03   21.67    0.01   20.78    0.01
   900598 150.54377915  2.667507919   0.91 10.31  -7.44   26.94   -1.00   27.15    0.44   25.51    0.18   24.60    0.09   23.31    0.04   22.49    0.02
   900651 150.54793610  2.667534710   0.91 10.19  -1.80   26.92   -1.00   26.68    0.36   26.03    0.28   24.69    0.09   23.48    0.05   22.83    0.03
   900662 150.52913077  2.666714186   0.87 10.72  -1.84   26.90   -1.00   26.06    0.18   24.45    0.08   23.45    0.04   22.25    0.02   21.48    0.01
   900715 149.98056908  2.666508838   0.99 10.69  -1.30   26.55    0.57   25.99    0.18   24.92    0.11   23.98    0.05   22.74    0.03   21.84    0.01
   900734 149.89648788  2.668258884   0.71  9.48  -6.97   26.97   -1.00   27.85   -1.00   26.16    0.24   25.18    0.10   23.99    0.05   23.59    0.05
   900800 149.47597145  2.663894351   0.43 11.07  -1.13   23.92    0.07   22.52    0.02   21.27    0.02   20.34    0.01   19.65    0.00   19.30    0.00
   900919 149.98320111  2.668176905   1.11 10.81   0.33   27.02   -1.00   27.07    0.41   26.24    0.28   25.93    0.21   24.52    0.09   23.43    0.05
   901023 149.83700722  2.668112467   1.30 10.69  -2.60   26.91   -1.00   27.43    0.52   27.39   -1.00   26.13    0.26   24.56    0.09   23.65    0.06
   901080 150.15201737  2.668753407   0.34  8.82  -6.76   26.76    0.54   25.51    0.12   24.48    0.08   23.84    0.05   23.32    0.04   23.05    0.03
   901085 149.42846743  2.667468265   1.27 10.50  -2.83   26.56   -1.00   26.02    0.18   25.57    0.18   24.89    0.09   23.76    0.05   22.72    0.03
   901125 149.47006935  2.665372414   0.93 10.98  -0.59   25.15    0.23   24.68    0.08   23.52    0.05   22.64    0.03   21.51    0.01   20.75    0.01
   901150 150.72641632  2.667350718   0.86 11.01  -5.16   26.53   -1.00   25.98    0.18   24.54    0.09   23.48    0.04   22.15    0.02   21.41    0.01
   901173 150.63627008  2.669207270   0.21  7.44  -4.76   26.53   -1.00   26.69    0.29   25.38    0.15   25.18    0.12   24.98    0.14   25.09    0.27
   901269 149.57900858  2.665661428   1.38 11.06   0.48   24.09    0.13   23.81    0.05   23.59    0.06   23.28    0.04   22.43    0.03   21.65    0.01
   901283 149.96330134  2.669476053   0.72 10.68  -7.65   27.06   -1.00   26.25    0.16   24.54    0.07   23.68    0.04   22.41    0.02   21.83    0.01
   901291 150.71809703  2.666149480   0.84 10.71  -0.42   24.75    0.18   24.29    0.06   23.31    0.04   22.63    0.03   21.40    0.01   20.89    0.01
   901299 149.47688471  2.668102387   0.43  9.30  -7.15   26.26    0.56   25.34    0.11   24.23    0.07   23.51    0.04   22.90    0.03   22.64    0.02
   901358 149.67964729  2.667434375   0.54 10.21 -12.73   26.21    0.41   25.03    0.10   23.70    0.05   22.75    0.03   21.88    0.02   21.46    0.01
   901388 149.65433536  2.664402585   1.43 10.92   0.35   25.10    0.55   24.42    0.15   24.42    0.20   23.64    0.10   22.74    0.07   22.22    0.06
   901391 150.70370613  2.666486734   0.97 10.68  -1.32   26.53   -1.00   25.73    0.15   24.85    0.11   23.93    0.05   22.75    0.03   21.86    0.01
   901397 149.89990190  2.667871436   0.34  9.48  -9.56   25.47    0.21   24.42    0.06   23.23    0.04   22.61    0.02   22.08    0.02   21.75    0.01
   901569 150.42770284  2.666519438   0.54 10.46  -0.83   26.03    0.48   24.88    0.09   23.58    0.05   22.69    0.03   21.79    0.02   21.38    0.01
   901587 150.53840352  2.670265184   0.91 10.38 -10.40   26.94   -1.00   27.37    0.33   25.67    0.14   24.77    0.07   23.50    0.03   22.68    0.02
   901610 150.01962729  2.669882395   1.48 10.76  -1.81   27.21   -1.00   26.95    0.33   26.28    0.28   26.20    0.25   24.87    0.12   24.22    0.10
   901617 149.44694844  2.667633640   0.85 10.69  -0.22   25.02    0.22   24.86    0.09   24.13    0.07   23.50    0.04   22.44    0.02   21.75    0.01
   901639 149.47430213  2.665197535   0.43 11.13  -0.42   23.72    0.07   22.45    0.02   21.21    0.02   20.26    0.01   19.56    0.00   19.19    0.00
   901650 149.76786620  2.668964893   1.11 10.55  -0.35   26.48    0.58   26.01    0.19   25.66    0.19   24.81    0.10   23.85    0.06   23.05    0.04
   901739 149.72166202  2.669128917   1.13 10.82  -0.08   26.91   -1.00   26.63    0.31   26.07    0.25   25.35    0.14   24.10    0.06   23.00    0.03
   901778 149.78953558  2.668604048   0.99 10.61  -1.38   26.93   -1.00   26.56    0.27   25.29    0.14   24.14    0.06   22.97    0.03   22.05    0.01
   901803 149.85366057  2.669447818   0.94 10.31  -1.69   26.93   -1.00   26.64    0.26   25.63    0.17   24.66    0.07   23.53    0.04   22.68    0.02
   901918 149.72360376  2.668335108   1.09 10.91  -1.08   26.59    0.61   25.89    0.17   25.00    0.11   23.86    0.05   22.73    0.02   21.64    0.01
   901949 150.37172273  2.668901694   1.02 10.68  -0.45   25.77    0.32   25.25    0.11   24.48    0.08   23.60    0.04   22.41    0.02   21.58    0.01
   901959 149.86284632  2.669872544   0.41  8.13  -3.17   26.89   -1.00   26.61    0.27   25.68    0.18   25.03    0.11   24.70    0.10   24.65    0.14
   902002 149.95336538  2.670967634   0.27  8.30  -3.75   27.09   -1.00   27.78    0.61   26.39    0.27   25.68    0.15   24.92    0.11   24.57    0.11
   902019 150.44933255  2.668517548   0.87 10.65  -0.26   25.06    0.16   24.98    0.08   24.24    0.07   23.64    0.04   22.61    0.02   21.90    0.01
   902051 150.45139246  2.669248063   0.07  7.41  -3.88   25.66    0.58   25.17    0.17   24.22    0.12   23.81    0.08   23.45    0.08   23.51    0.12
   902089 150.09687297  2.668777298   0.36  9.03  -2.10   25.87    0.28   25.14    0.12   23.93    0.06   23.32    0.05   22.84    0.04   22.67    0.03
   902282 149.69614761  2.669809552   1.29 10.94  -1.63   26.88   -1.00   26.21    0.21   26.01    0.24   24.93    0.10   23.80    0.05   22.79    0.03
   902298 150.35595604  2.669692667   0.72 10.09  -1.47   26.49    0.67   25.81    0.17   24.40    0.08   23.70    0.05   22.60    0.02   22.13    0.02
   902316 149.88511347  2.668923471   0.88 11.25  -0.08   26.16    0.43   25.24    0.10   24.02    0.06   23.09    0.03   21.85    0.01   21.02    0.01
   902379 149.98584723  2.666558559   1.13 11.28   0.81   26.11    0.48   25.55    0.16   24.97    0.14   24.17    0.07   23.11    0.04   22.05    0.02
   902430 150.06962514  2.668167586   0.67 10.59  -0.32   25.24    0.15   24.76    0.08   23.66    0.05   22.92    0.03   21.91    0.02   21.46    0.01
   902547 149.48482912  2.670389922   1.54 10.67  -0.46   26.62   -1.00   26.29    0.24   26.01    0.25   25.45    0.16   24.51    0.09   23.68    0.06
   902565 150.44122654  2.671635817   0.92  9.95  -0.74   26.88   -1.00   27.75   -1.00   26.52    0.26   25.89    0.14   24.73    0.08   24.06    0.06
   902597 149.90132499  2.670550192   1.14 10.68  -0.22   26.87   -1.00   26.45    0.23   26.22    0.27   25.58    0.15   24.39    0.08   23.38    0.05
   902625 150.54309801  2.669927790   1.10 10.60  -5.84   26.88   -1.00   26.33    0.22   25.51    0.17   24.61    0.08   23.43    0.04   22.29    0.02
   902649 149.49353274  2.670652823   0.43  9.73  -1.37   26.66   -1.00   25.32    0.11   24.23    0.07   23.42    0.04   22.82    0.03   22.42    0.02
   902670 149.46893100  2.668515878   0.87 10.86  -8.18   26.36    0.65   25.58    0.14   23.97    0.06   23.03    0.03   21.83    0.01   21.11    0.01
   902690 149.75877959  2.668954688   0.43 10.04  -1.06   25.12    0.17   23.98    0.05   23.03    0.04   22.28    0.02   21.68    0.01   21.33    0.01
   902714 150.52785743  2.671030734   0.19  8.42  -2.50   26.30    0.45   25.24    0.10   24.25    0.07   23.87    0.05   23.45    0.04   23.22    0.04
   902744 149.81202754  2.668770815   1.00 10.94  -9.84   26.81   -1.00   26.15    0.21   24.94    0.12   23.69    0.04   22.52    0.02   21.53    0.01
   902760 150.53737010  2.669772579   0.87 11.00  -0.99   25.85    0.38   24.96    0.09   23.56    0.05   22.63    0.03   21.43    0.01   20.68    0.01
   902809 149.83905905  2.670809661   0.22  8.01  -2.57   26.40    0.51   25.44    0.11   24.53    0.08   24.20    0.06   23.85    0.06   23.68    0.06
   902870 150.09910775  2.669821723   1.72 11.14  -0.86   27.01   -1.00   27.09    0.44   26.78    0.48   25.88    0.22   24.67    0.12   23.65    0.06
   902941 149.86817727  2.670250691   1.01 10.77  -2.52   26.88   -1.00   26.21    0.19   25.39    0.14   24.34    0.06   23.14    0.03   22.15    0.02
   903166 149.50602837  2.671519239   1.45 11.02  -2.27   26.65   -1.00   27.57   -1.00   26.97    0.53   26.02    0.24   24.46    0.09   23.53    0.06
   903173 150.48372742  2.671073699   0.83 10.32  -1.25   26.80   -1.00   25.91    0.17   24.61    0.09   23.79    0.05   22.62    0.02   22.04    0.02
   903190 150.53807351  2.670086450   0.87 10.78  -1.79   26.58    0.75   25.83    0.17   24.33    0.08   23.35    0.04   22.09    0.02   21.33    0.01
   903246 150.22581127  2.672014376   1.51 10.81  -1.76   26.97   -1.00   27.09    0.40   26.91    0.50   25.89    0.20   24.91    0.13   24.11    0.09
   903362 150.55126821  2.671408637   1.10 11.04   0.13   25.62    0.26   25.48    0.12   24.82    0.10   24.11    0.06   23.16    0.03   22.10    0.02
   903366 150.44883767  2.671845501   1.23 10.63  -0.93   26.86   -1.00   26.24    0.20   25.74    0.19   24.85    0.09   23.77    0.05   22.73    0.03
   903394 149.87828487  2.671153614   1.47 10.97   1.91   26.07    0.43   24.95    0.09   24.20    0.07   23.89    0.05   23.16    0.03   22.57    0.02
   903412 150.74220161  2.671703394   0.86 10.14  -1.00   25.78    0.40   25.84    0.16   24.83    0.10   24.13    0.06   23.02    0.03   22.44    0.02
   903413 149.97512165  2.673010389   0.10  7.50  -5.34   27.10   -1.00   26.68    0.25   25.60    0.16   25.04    0.09   24.40    0.07   24.29    0.09
   903418 149.69809614  2.669956415   1.19 11.35  -1.93   25.70    0.30   25.21    0.11   24.72    0.10   23.85    0.05   22.57    0.02   21.57    0.01
   903454 150.53701831  2.670237961   0.91 11.23  -1.34   24.99    0.19   24.61    0.08   23.36    0.05   22.40    0.03   21.18    0.01   20.40    0.00
   903460 149.89092942  2.669206997   0.88 11.34  -9.44   25.58    0.27   24.81    0.08   23.15    0.04   22.16    0.02   20.91    0.01   20.10    0.00
   903539 149.66456534  2.672258941   1.11 10.55  -0.36   26.90   -1.00   27.34    0.50   26.48    0.34   25.62    0.15   24.48    0.08   23.61    0.06
   903590 150.14468547  2.672366477   0.98 10.13  -1.00   26.69    0.52   26.04    0.17   25.33    0.14   24.73    0.08   23.66    0.05   22.84    0.03
   903617 149.94494197  2.672796987   1.14 10.25  -1.75   26.99   -1.00   27.85   -1.00   26.51    0.32   25.70    0.16   24.62    0.09   23.55    0.05
   903619 150.53721019  2.671536289   0.90 10.37  -1.63   26.26   -1.00   26.97    0.61   25.34    0.23   24.02    0.08   23.06    0.05   22.39    0.03
   903694 150.64213963  2.672270555   1.09 10.76 -12.18   26.56   -1.00   27.18    0.42   26.18    0.27   24.90    0.09   23.64    0.04   22.48    0.02
   903700 149.57650695  2.671320568   0.98 10.82  -0.29   26.49   -1.00   26.05    0.19   25.47    0.17   24.51    0.08   23.41    0.04   22.35    0.02
   903714 150.73736084  2.672516309   0.93 10.29  -2.27   26.59   -1.00   27.46    0.58   26.30    0.36   24.81    0.09   23.59    0.05   22.83    0.03
   903715 150.61179692  2.671531072   0.85 10.75  -0.15   25.77    0.44   25.23    0.11   24.36    0.09   23.63    0.04   22.55    0.02   21.89    0.01
   903791 150.01770211  2.672625749   1.59 10.90  -0.67   27.15   -1.00   27.02    0.37   26.14    0.28   25.65    0.17   24.38    0.08   23.65    0.06
   903941 149.60187881  2.670402919   1.10 11.03  -0.96   26.05    0.53   25.56    0.14   24.76    0.10   23.54    0.04   22.41    0.02   21.39    0.01
   903953 149.60655214  2.670662990   0.36 10.39  -2.90   23.71    0.06   22.75    0.03   21.52    0.02   20.76    0.01   20.19    0.01   19.84    0.00
   903955 149.60508034  2.672089938   1.19 10.47  -1.09   26.53   -1.00   26.66    0.31   26.22    0.29  -99.96  -99.90   23.93    0.06   22.98    0.04
   904008 149.76442637  2.672514608   1.42 10.71  -0.85   26.90   -1.00   26.84    0.34   26.39    0.33   25.73    0.17   24.27    0.07   23.50    0.05
   904080 150.66979589  2.670649194   0.50 10.43  -0.48   24.53    0.16   23.89    0.05   22.88    0.03   22.11    0.02   21.30    0.01   20.92    0.01
   904106 150.44038216  2.671259660   0.55 10.04  -0.65   26.21    0.51   25.36    0.12   24.34    0.08   23.41    0.04   22.58    0.02   22.16    0.02
   904250 150.34751061  2.672220727   0.93 10.51  -2.82   25.66    0.29   25.07    0.10   23.95    0.06   23.18    0.03   22.02    0.02   21.33    0.01
   904295 150.02513412  2.673171798   1.31 10.73  -1.27   27.08   -1.00   26.98    0.38   26.26    0.31   25.21    0.12   24.05    0.07   23.12    0.04
   904313 149.43555121  2.672489890   1.42 10.98   0.13   25.37    0.28   24.90    0.08   24.53    0.08   24.17    0.06   23.16    0.03   22.30    0.02
   904335 150.25444621  2.673463781   0.90 10.46  -1.53   26.93   -1.00   26.39    0.24   24.89    0.10   23.96    0.06   22.80    0.03   22.05    0.01
   904373 150.72148200  2.673094455   0.27  8.25  -7.33   26.35   -1.00   26.31    0.44   24.94    0.17   24.59    0.11   23.98    0.16   23.90    0.09
   904542 149.95233351  2.674663323   0.10  7.52  -4.92   27.07   -1.00   26.70    0.25   25.87    0.19   25.41    0.13   24.72    0.10   24.44    0.10
   904635 149.95772577  2.672620083   0.69 10.94  -0.82   25.98    0.34   24.96    0.08   23.41    0.04   22.56    0.02   21.40    0.01   20.90    0.00
   904642 149.53145660  2.672986249   0.71 10.88  -0.02   25.10    0.21   24.58    0.07   23.52    0.05   22.76    0.03   21.64    0.01   21.11    0.01
   904688 150.73969738  2.672756407   0.85 11.02  -0.31   26.52   -1.00   25.95    0.19   24.31    0.09   23.51    0.04   22.23    0.02   21.44    0.01
   904768 149.79001069  2.672964688   0.82 10.71   0.15   25.24    0.19   24.48    0.07   23.61    0.05   22.98    0.03   22.01    0.02   21.48    0.01
   904778 149.84571067  2.674168360   0.47  9.46  -9.58   26.92   -1.00   25.70    0.13   24.59    0.08   23.77    0.04   23.04    0.03   22.69    0.02
